X,CH1,Start,Increment,
Sequence,Volt,-1.148000e+01,2.000000e-02
0,2.40e-03,
1,-2.40e-03,
2,-1.60e-03,
3,1.60e-03,
4,1.20e-03,
5,-2.40e-03,
6,-1.60e-03,
7,1.60e-03,
8,-1.60e-03,
9,1.60e-03,
10,-1.60e-03,
11,1.60e-03,
12,-2.00e-03,
13,1.60e-03,
14,-1.60e-03,
15,2.00e-03,
16,-2.40e-03,
17,2.00e-03,
18,2.00e-03,
19,-1.60e-03,
20,-1.60e-03,
21,2.40e-03,
22,-2.40e-03,
23,2.40e-03,
24,-2.40e-03,
25,2.00e-03,
26,-1.60e-03,
27,2.40e-03,
28,-2.40e-03,
29,2.40e-03,
30,1.60e-03,
31,-2.40e-03,
32,-1.60e-03,
33,2.00e-03,
34,-1.60e-03,
35,2.00e-03,
36,2.40e-03,
37,-1.60e-03,
38,1.20e-03,
39,-2.40e-03,
40,2.40e-03,
41,-3.20e-03,
42,-2.40e-03,
43,1.60e-03,
44,2.00e-03,
45,-3.20e-03,
46,2.00e-03,
47,-2.40e-03,
48,2.00e-03,
49,-2.40e-03,
50,-2.40e-03,
51,1.60e-03,
52,-1.60e-03,
53,2.40e-03,
54,1.60e-03,
55,-1.60e-03,
56,-1.60e-03,
57,2.00e-03,
58,1.60e-03,
59,-2.40e-03,
60,-2.40e-03,
61,1.60e-03,
62,2.00e-03,
63,-2.40e-03,
64,-2.40e-03,
65,2.00e-03,
66,1.60e-03,
67,-2.40e-03,
68,-1.60e-03,
69,1.60e-03,
70,-2.40e-03,
71,2.00e-03,
72,2.00e-03,
73,-1.60e-03,
74,-2.40e-03,
75,1.60e-03,
76,-1.60e-03,
77,2.00e-03,
78,1.60e-03,
79,-2.40e-03,
80,-1.60e-03,
81,2.40e-03,
82,-1.60e-03,
83,2.40e-03,
84,-2.40e-03,
85,2.40e-03,
86,-1.60e-03,
87,2.00e-03,
88,2.00e-03,
89,-2.40e-03,
90,-2.40e-03,
91,2.00e-03,
92,-1.60e-03,
93,1.60e-03,
94,-2.40e-03,
95,2.00e-03,
96,-2.40e-03,
97,2.00e-03,
98,1.60e-03,
99,-2.40e-03,
100,1.60e-03,
101,-2.40e-03,
102,-1.60e-03,
103,1.60e-03,
104,-1.60e-03,
105,2.80e-03,
106,-1.60e-03,
107,2.40e-03,
108,1.60e-03,
109,-2.40e-03,
110,2.40e-03,
111,-2.40e-03,
112,2.40e-03,
113,-2.40e-03,
114,-1.60e-03,
115,2.00e-03,
116,2.40e-03,
117,-2.40e-03,
118,2.00e-03,
119,-2.40e-03,
120,2.40e-03,
121,-2.40e-03,
122,1.60e-03,
123,-2.40e-03,
124,1.60e-03,
125,-2.00e-03,
126,1.60e-03,
127,-2.40e-03,
128,-2.40e-03,
129,2.40e-03,
130,-1.60e-03,
131,2.00e-03,
132,1.60e-03,
133,-1.60e-03,
134,-2.40e-03,
135,2.00e-03,
136,2.40e-03,
137,-2.40e-03,
138,-1.60e-03,
139,1.60e-03,
140,-2.40e-03,
141,2.80e-03,
142,2.00e-03,
143,-2.40e-03,
144,-1.60e-03,
145,2.00e-03,
146,-1.60e-03,
147,1.60e-03,
148,2.00e-03,
149,-2.40e-03,
150,-1.60e-03,
151,2.40e-03,
152,-3.20e-03,
153,2.40e-03,
154,-1.60e-03,
155,2.40e-03,
156,-1.60e-03,
157,2.00e-03,
158,-2.40e-03,
159,2.40e-03,
160,-1.60e-03,
161,3.20e-03,
162,-1.60e-03,
163,2.40e-03,
164,-1.60e-03,
165,2.40e-03,
166,2.00e-03,
167,-1.60e-03,
168,-1.60e-03,
169,3.20e-03,
170,-1.60e-03,
171,2.40e-03,
172,1.60e-03,
173,-1.60e-03,
174,1.60e-03,
175,-2.40e-03,
176,2.40e-03,
177,-1.60e-03,
178,-1.60e-03,
179,2.40e-03,
180,1.60e-03,
181,-1.60e-03,
182,-1.60e-03,
183,2.40e-03,
184,-1.60e-03,
185,2.00e-03,
186,2.40e-03,
187,-1.60e-03,
188,1.60e-03,
189,-2.40e-03,
190,2.40e-03,
191,-2.40e-03,
192,-2.40e-03,
193,2.40e-03,
194,-2.40e-03,
195,1.60e-03,
196,1.60e-03,
197,-1.60e-03,
198,2.00e-03,
199,-2.40e-03,
200,-1.60e-03,
201,2.40e-03,
202,-2.40e-03,
203,2.40e-03,
204,-1.60e-03,
205,3.20e-03,
206,2.40e-03,
207,-1.60e-03,
208,2.40e-03,
209,-8.00e-04,
210,-1.60e-03,
211,2.80e-03,
212,-1.60e-03,
213,2.80e-03,
214,-8.00e-04,
215,2.40e-03,
216,2.00e-03,
217,-1.60e-03,
218,2.00e-03,
219,-1.60e-03,
220,-1.60e-03,
221,2.40e-03,
222,-1.60e-03,
223,2.40e-03,
224,2.40e-03,
225,-1.60e-03,
226,-1.60e-03,
227,2.40e-03,
228,2.40e-03,
229,-1.60e-03,
230,-1.60e-03,
231,2.40e-03,
232,2.40e-03,
233,-1.60e-03,
234,3.20e-03,
235,-1.60e-03,
236,-1.60e-03,
237,2.40e-03,
238,2.40e-03,
239,-1.60e-03,
240,-2.40e-03,
241,3.20e-03,
242,-2.40e-03,
243,2.40e-03,
244,-2.40e-03,
245,2.00e-03,
246,1.60e-03,
247,-2.40e-03,
248,-2.40e-03,
249,2.00e-03,
250,1.60e-03,
251,-1.60e-03,
252,2.00e-03,
253,-2.40e-03,
254,2.00e-03,
255,-2.40e-03,
256,-1.60e-03,
257,2.40e-03,
258,-1.60e-03,
259,2.40e-03,
260,2.40e-03,
261,-2.40e-03,
262,-1.60e-03,
263,2.00e-03,
264,-1.60e-03,
265,2.40e-03,
266,-1.60e-03,
267,2.40e-03,
268,1.60e-03,
269,-2.40e-03,
270,2.80e-03,
271,-2.40e-03,
272,-1.60e-03,
273,2.00e-03,
274,2.40e-03,
275,-1.60e-03,
276,-1.60e-03,
277,2.40e-03,
278,-2.40e-03,
279,2.40e-03,
280,-1.60e-03,
281,1.60e-03,
282,-1.60e-03,
283,2.00e-03,
284,-1.60e-03,
285,2.40e-03,
286,-1.60e-03,
287,2.40e-03,
288,-1.60e-03,
289,2.40e-03,
290,-1.60e-03,
291,2.40e-03,
292,2.40e-03,
293,-1.60e-03,
294,-1.60e-03,
295,2.40e-03,
296,2.40e-03,
297,-2.40e-03,
298,-1.60e-03,
299,2.40e-03,
300,2.40e-03,
301,-1.60e-03,
302,-1.60e-03,
303,2.40e-03,
304,-1.60e-03,
305,2.40e-03,
306,-1.60e-03,
307,1.60e-03,
308,3.20e-03,
309,-1.60e-03,
310,2.40e-03,
311,-1.60e-03,
312,1.60e-03,
313,-1.60e-03,
314,-2.40e-03,
315,2.40e-03,
316,2.00e-03,
317,-1.60e-03,
318,-1.60e-03,
319,2.40e-03,
320,-1.60e-03,
321,2.40e-03,
322,2.00e-03,
323,-1.60e-03,
324,-1.60e-03,
325,2.40e-03,
326,-1.60e-03,
327,2.40e-03,
328,-1.60e-03,
329,2.40e-03,
330,-1.60e-03,
331,2.40e-03,
332,-1.60e-03,
333,2.40e-03,
334,-2.40e-03,
335,2.40e-03,
336,2.00e-03,
337,-1.60e-03,
338,-1.60e-03,
339,3.20e-03,
340,-1.60e-03,
341,2.80e-03,
342,-8.00e-04,
343,2.40e-03,
344,2.00e-03,
345,-1.60e-03,
346,-1.60e-03,
347,2.40e-03,
348,-8.00e-04,
349,2.40e-03,
350,2.40e-03,
351,-2.40e-03,
352,-1.60e-03,
353,2.40e-03,
354,1.60e-03,
355,-2.40e-03,
356,-1.60e-03,
357,2.40e-03,
358,-1.60e-03,
359,2.40e-03,
360,-1.60e-03,
361,2.40e-03,
362,-1.60e-03,
363,2.80e-03,
364,-1.60e-03,
365,2.40e-03,
366,-1.60e-03,
367,2.40e-03,
368,-1.60e-03,
369,2.40e-03,
370,-1.60e-03,
371,2.40e-03,
372,2.00e-03,
373,-1.60e-03,
374,-2.40e-03,
375,2.40e-03,
376,3.20e-03,
377,-2.40e-03,
378,2.40e-03,
379,-2.40e-03,
380,2.40e-03,
381,-2.40e-03,
382,-8.00e-04,
383,2.40e-03,
384,2.40e-03,
385,-2.40e-03,
386,-2.40e-03,
387,2.00e-03,
388,2.00e-03,
389,-1.60e-03,
390,-1.60e-03,
391,1.60e-03,
392,2.80e-03,
393,-2.40e-03,
394,-2.40e-03,
395,2.40e-03,
396,2.40e-03,
397,-2.40e-03,
398,2.40e-03,
399,-1.20e-03,
400,-1.60e-03,
401,2.40e-03,
402,2.00e-03,
403,-1.60e-03,
404,3.20e-03,
405,-2.00e-03,
406,-1.60e-03,
407,2.40e-03,
408,-1.60e-03,
409,2.00e-03,
410,3.20e-03,
411,-1.60e-03,
412,-1.60e-03,
413,2.00e-03,
414,-8.00e-04,
415,2.40e-03,
416,-1.60e-03,
417,2.40e-03,
418,-8.00e-04,
419,2.00e-03,
420,-1.60e-03,
421,2.00e-03,
422,-1.60e-03,
423,2.40e-03,
424,-2.40e-03,
425,2.00e-03,
426,-1.60e-03,
427,2.40e-03,
428,2.00e-03,
429,-1.60e-03,
430,2.00e-03,
431,-1.60e-03,
432,-2.40e-03,
433,2.00e-03,
434,-2.40e-03,
435,2.00e-03,
436,-2.40e-03,
437,2.40e-03,
438,-8.00e-04,
