X,CH1,Start,Increment,
Sequence,Volt,-1.148000e+01,2.000000e-02
0,-2.40e-03,
1,2.40e-03,
2,-1.60e-03,
3,2.00e-03,
4,-1.60e-03,
5,1.60e-03,
6,-1.60e-03,
7,3.20e-03,
8,-1.60e-03,
9,2.40e-03,
10,-1.60e-03,
11,2.00e-03,
12,-2.40e-03,
13,2.40e-03,
14,2.40e-03,
15,-1.60e-03,
16,2.40e-03,
17,-1.60e-03,
18,2.40e-03,
19,-1.60e-03,
20,-2.40e-03,
21,1.60e-03,
22,-1.60e-03,
23,1.60e-03,
24,2.40e-03,
25,-1.60e-03,
26,-2.40e-03,
27,2.00e-03,
28,2.40e-03,
29,-1.60e-03,
30,2.40e-03,
31,-1.60e-03,
32,2.40e-03,
33,-2.40e-03,
34,-1.60e-03,
35,2.80e-03,
36,-8.00e-04,
37,2.00e-03,
38,-1.60e-03,
39,2.00e-03,
40,2.40e-03,
41,-1.60e-03,
42,2.40e-03,
43,-1.60e-03,
44,3.20e-03,
45,-2.40e-03,
46,-2.40e-03,
47,3.20e-03,
48,2.40e-03,
49,-2.40e-03,
50,2.40e-03,
51,-1.60e-03,
52,2.40e-03,
53,-2.40e-03,
54,2.80e-03,
55,-2.40e-03,
56,-1.60e-03,
57,2.40e-03,
58,-1.60e-03,
59,2.40e-03,
60,2.40e-03,
61,-2.40e-03,
62,-1.60e-03,
63,2.40e-03,
64,2.40e-03,
65,-1.60e-03,
66,1.60e-03,
67,-2.40e-03,
68,2.40e-03,
69,-1.60e-03,
70,-2.40e-03,
71,2.80e-03,
72,-1.60e-03,
73,3.20e-03,
74,2.40e-03,
75,-2.40e-03,
76,-1.60e-03,
77,2.40e-03,
78,2.40e-03,
79,-2.40e-03,
80,2.40e-03,
81,-1.60e-03,
82,-1.60e-03,
83,3.20e-03,
84,3.20e-03,
85,-2.40e-03,
86,-2.40e-03,
87,2.40e-03,
88,2.40e-03,
89,-2.40e-03,
90,3.20e-03,
91,-1.60e-03,
92,2.40e-03,
93,-2.40e-03,
94,3.20e-03,
95,-1.60e-03,
96,-1.60e-03,
97,3.20e-03,
98,2.40e-03,
99,-2.40e-03,
100,-2.40e-03,
101,2.40e-03,
102,-3.20e-03,
103,2.40e-03,
104,-2.40e-03,
105,2.40e-03,
106,2.40e-03,
107,-1.60e-03,
108,2.40e-03,
109,-2.40e-03,
110,-1.60e-03,
111,2.40e-03,
112,3.20e-03,
113,-1.60e-03,
114,-1.60e-03,
115,3.20e-03,
116,-1.60e-03,
117,2.40e-03,
118,2.40e-03,
119,-2.40e-03,
120,3.20e-03,
121,-2.80e-03,
122,2.40e-03,
123,-1.60e-03,
124,2.40e-03,
125,-2.40e-03,
126,3.20e-03,
127,-2.40e-03,
128,3.20e-03,
129,-2.40e-03,
130,2.40e-03,
131,-2.40e-03,
132,-2.40e-03,
133,3.20e-03,
134,2.40e-03,
135,-2.40e-03,
136,2.40e-03,
137,-3.20e-03,
138,2.40e-03,
139,-1.60e-03,
140,2.40e-03,
141,-2.40e-03,
142,-2.40e-03,
143,3.20e-03,
144,2.40e-03,
145,-3.20e-03,
146,2.80e-03,
147,-2.40e-03,
148,3.20e-03,
149,-1.60e-03,
150,-2.40e-03,
151,3.20e-03,
152,3.20e-03,
153,-2.40e-03,
154,-2.40e-03,
155,2.40e-03,
156,2.40e-03,
157,-3.20e-03,
158,-2.40e-03,
159,2.40e-03,
160,2.40e-03,
161,-2.40e-03,
162,3.20e-03,
163,-1.60e-03,
164,-1.60e-03,
165,3.20e-03,
166,-1.60e-03,
167,2.40e-03,
168,-2.40e-03,
169,3.20e-03,
170,2.80e-03,
171,-2.40e-03,
172,2.40e-03,
173,-2.40e-03,
174,-2.40e-03,
175,3.20e-03,
176,3.20e-03,
177,-2.40e-03,
178,-2.40e-03,
179,2.80e-03,
180,-1.60e-03,
181,2.80e-03,
182,2.40e-03,
183,-2.40e-03,
184,3.20e-03,
185,-2.40e-03,
186,-1.60e-03,
187,3.20e-03,
188,-2.40e-03,
189,2.40e-03,
190,-2.40e-03,
191,2.80e-03,
192,2.40e-03,
193,-2.40e-03,
194,2.40e-03,
195,-3.20e-03,
196,3.20e-03,
197,-2.00e-03,
198,3.20e-03,
199,-2.40e-03,
200,-2.40e-03,
201,2.40e-03,
202,-2.40e-03,
203,2.40e-03,
204,-1.60e-03,
205,3.20e-03,
206,-1.60e-03,
207,2.40e-03,
208,2.80e-03,
209,-2.40e-03,
210,-2.40e-03,
211,2.00e-03,
212,-2.40e-03,
213,2.40e-03,
214,2.40e-03,
215,-1.60e-03,
216,-1.60e-03,
217,2.40e-03,
218,-1.60e-03,
219,3.20e-03,
220,2.40e-03,
221,-2.40e-03,
222,2.80e-03,
223,-2.40e-03,
224,-2.40e-03,
225,2.80e-03,
226,-1.60e-03,
227,2.40e-03,
228,-1.60e-03,
229,2.40e-03,
230,-2.40e-03,
231,2.80e-03,
232,-1.60e-03,
233,3.20e-03,
234,-2.40e-03,
235,2.40e-03,
236,-1.60e-03,
237,2.40e-03,
238,-1.60e-03,
239,2.80e-03,
240,2.40e-03,
241,-2.40e-03,
242,-1.60e-03,
243,2.40e-03,
244,-1.60e-03,
245,2.40e-03,
246,2.40e-03,
247,-1.60e-03,
248,-2.40e-03,
249,3.20e-03,
250,2.40e-03,
251,-2.40e-03,
252,-1.60e-03,
253,2.40e-03,
254,2.40e-03,
255,-2.40e-03,
256,2.40e-03,
257,-1.60e-03,
258,2.40e-03,
259,-2.40e-03,
260,-2.40e-03,
261,3.20e-03,
262,2.40e-03,
263,-2.40e-03,
264,-1.60e-03,
265,3.20e-03,
266,-2.40e-03,
267,2.40e-03,
268,-1.60e-03,
269,3.20e-03,
270,1.60e-03,
271,-2.40e-03,
272,3.20e-03,
273,-2.40e-03,
274,-2.40e-03,
275,3.20e-03,
276,3.20e-03,
277,-2.40e-03,
278,2.40e-03,
279,-1.60e-03,
280,-2.40e-03,
281,2.40e-03,
282,-1.60e-03,
283,3.20e-03,
284,-1.60e-03,
285,2.40e-03,
286,-1.60e-03,
287,2.40e-03,
288,-2.40e-03,
289,3.20e-03,
290,-1.60e-03,
291,3.60e-03,
292,-1.60e-03,
293,3.20e-03,
294,3.20e-03,
295,-3.20e-03,
296,-1.60e-03,
297,3.20e-03,
298,-2.40e-03,
299,3.20e-03,
300,-2.40e-03,
301,3.20e-03,
302,2.40e-03,
303,-2.00e-03,
304,-2.40e-03,
305,3.20e-03,
306,2.40e-03,
307,-3.20e-03,
308,3.20e-03,
309,-2.40e-03,
310,-1.60e-03,
311,3.20e-03,
312,4.00e-03,
313,-2.40e-03,
314,1.60e-03,
315,-3.20e-03,
316,-2.40e-03,
317,3.20e-03,
318,-1.60e-03,
319,2.40e-03,
320,2.40e-03,
321,-2.40e-03,
322,2.40e-03,
323,-2.40e-03,
324,2.40e-03,
325,-3.20e-03,
326,2.40e-03,
327,-2.40e-03,
328,2.40e-03,
329,-1.60e-03,
330,2.40e-03,
331,-2.40e-03,
332,2.40e-03,
333,-1.60e-03,
334,2.40e-03,
335,-1.60e-03,
336,-2.40e-03,
337,2.40e-03,
338,-1.60e-03,
339,2.80e-03,
340,-1.60e-03,
341,3.20e-03,
342,2.80e-03,
343,-2.40e-03,
344,2.40e-03,
345,-2.40e-03,
346,2.40e-03,
347,-2.40e-03,
348,-1.60e-03,
349,3.20e-03,
350,-2.40e-03,
351,2.40e-03,
352,1.60e-03,
353,-2.40e-03,
354,-2.40e-03,
355,2.40e-03,
356,-2.40e-03,
357,2.40e-03,
358,-2.40e-03,
359,3.20e-03,
360,3.20e-03,
361,-2.40e-03,
362,-1.60e-03,
363,2.40e-03,
364,-2.40e-03,
365,2.40e-03,
366,2.40e-03,
367,-2.40e-03,
368,-3.20e-03,
369,3.20e-03,
370,-1.60e-03,
371,1.60e-03,
372,1.60e-03,
373,-2.40e-03,
374,-1.60e-03,
375,2.40e-03,
376,-2.40e-03,
377,2.40e-03,
378,-3.20e-03,
379,2.40e-03,
380,3.20e-03,
381,-2.40e-03,
382,2.40e-03,
383,-2.40e-03,
384,-1.60e-03,
385,2.40e-03,
386,-1.60e-03,
387,3.20e-03,
388,2.40e-03,
389,-2.40e-03,
390,2.40e-03,
391,-2.40e-03,
392,-2.40e-03,
393,2.80e-03,
394,-2.40e-03,
395,2.40e-03,
396,-1.60e-03,
397,3.20e-03,
398,-1.60e-03,
399,2.40e-03,
400,2.40e-03,
401,-2.40e-03,
402,-1.60e-03,
403,2.40e-03,
404,-2.40e-03,
405,3.20e-03,
406,2.40e-03,
407,-2.40e-03,
408,-1.60e-03,
409,2.40e-03,
410,-2.40e-03,
411,2.40e-03,
412,-2.40e-03,
413,2.40e-03,
414,2.40e-03,
415,-2.40e-03,
416,-1.60e-03,
417,3.20e-03,
418,-2.40e-03,
419,3.20e-03,
420,-1.60e-03,
421,2.40e-03,
422,-1.60e-03,
423,2.40e-03,
424,3.20e-03,
425,-2.40e-03,
426,-2.40e-03,
427,2.40e-03,
428,2.40e-03,
429,-2.40e-03,
430,-3.20e-03,
431,2.40e-03,
432,-1.60e-03,
433,3.20e-03,
434,-2.40e-03,
435,2.40e-03,
436,-2.40e-03,
437,2.40e-03,
438,1.60e-03,
